estado,api_codigo,api_descripcion,api_precio,api_disponible,shopify_id,shopify_titulo,shopify_sku
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9007168192700,(YV) Base Endurecedora 'Cat Nails' con Ajo - Uñas Fuertes en 10 Días,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9004596330684,(YV) Base Líquida Vogue 'Mate Natural' con Ácido Hialurónico - Larga Duración 30ml,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9007290187964,(YV) Bloqueador Solar Tanga SPF 100 en Crema - Display de 12 Unidades de 10ml,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9007223603388,(YV) Brillo Acrílico para Uñas Slendy - Secado Rápido y Efecto Gel,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9010905219260,(YV) Brillo Labial NIVEA Strawberry Shine - Dosis Individual en Sobre (Fresa),
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9007174484156,(YV) Bronceador D'Luchi de Zanahoria y Canela - Acelerador de Bronceado (250ml),
SOLO_EN_SHOPIFY_SIN_SKU,,,,,8998445908156,(YV) Caja 12 Sachets Protector Solar Arawak Sundark SPF 60 - Dosis Perfecta para Llevar,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9010933858492,(YV) Caja de Preservativos Surtidos DUO - 4 Variedades (50 Unidades),
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9010862424252,(YV) Cepillo de Dientes Pro Suave 425 - Limpieza Eficaz para Encías Sensibles,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9012300054716,"(YV) Cepillo Secador Alisador BaBylissPRO 2 en 1 (2.75"") - Iónico Anti-Friz",
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9007169667260,(YV) Cepillo Secador Profesional CMS Cosmos 'Lira' - con 2 Cabezales Intercambiables,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9004611469500,(YV) Cepillo Secador y Voluminizador Alizz Air 360 - Tecnología Iónica Anti-Frizz,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9007377416380,(YV) Cera Depilatoria Profesional de Miel Natural Bell - 1000g,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9007384428732,(YV) Cera Moldeadora y Texturizante Recamier Sculpting Wax - 200g,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9012885422268,(YV) Cinta Microporosa Hipoalergénica Prolatex (Micropore) Color Piel - 1.5 Pulgadas,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,8999136460988,(YV) Colonia para Bebé Arrurrú Original Azul - Formato Familiar 800 ml,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,8998451347644,(YV) Colonia para Bebé Arrurrú Original Azul - Mega-Ahorro 1075 ml,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,8998992150716,(YV) Colonia para Bebé Arrurrú Original Rosada - Mega Formato Ahorro 1075 ml,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9012309885116,(YV) Color Wow Dream Coat Supernatural Spray (200 ml) - Anti-Frizz y Termoprotector,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,8998458392764,(YV) Combo Arrurrú: Colonia Original Azul 120 ml + Jabón en Barra 120 gr,
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9004830654652,(YV) Copitos de Algodón Sedocitos - Suavidad y Precisión (Paquete x80 Unidades),
SOLO_EN_SHOPIFY_SIN_SKU,,,,,9003630821564,(YV) Corrector Líquido Anik 'Bonita' Alta Cobertura - Tono 01 Bella,
